"record_id","lexical_id","instance_id","native_language_name","native_language_code","native_word","native_pronunciation","primary_aux_language_name","primary_aux_language_code","primary_translation","source_native_audio","source_filename_valid","expected_native_wav","expected_native_mp3","expected_auxiliary_mp3","batch_id","batch_position","batch_size","drive_provider","drive_root","drive_wav_relative_path","drive_mp3_relative_path","wav_exists","mp3_exists","wav_size_bytes","mp3_size_bytes","wav_sha256","mp3_sha256","expected_sample_rate_hz","expected_bit_depth","expected_channels","missing_resources","filename_valid","drive_validation_status","audio_qc_status","production_status","generated_at"
"000011","PU-000011","SGODA-PUINAVE","Puinave","pu","ASURINA","(asurína)","Español","es","Gasolina","PU-000011_pu.mp3","True","PU-000011_pu.wav","PU-000011_pu.mp3","PU-000011_es.mp3;PU-000011_en.mp3;PU-000011_it.mp3;PU-000011_pt.mp3","LOTE-001","11","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000011_pu.wav","MP3\PU-000011_pu.mp3","True","True","113834","12288","8EAF983A1CF438A09A96E18F25C91EB3D6DDDA6E1E855FFA52783884C5F75CB1","2E823ABF85AAA25BCA4DDF394AFFA2D36EA85FE471F61D9036AB0649B37AE1B2","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000012","PU-000012","SGODA-PUINAVE","Puinave","pu","AT","(át)","Español","es","Me","PU-000012_pu.mp3","True","PU-000012_pu.wav","PU-000012_pu.mp3","PU-000012_es.mp3;PU-000012_en.mp3;PU-000012_it.mp3;PU-000012_pt.mp3","LOTE-001","12","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000012_pu.wav","MP3\PU-000012_pu.mp3","True","True","50300","7487","E708A491C4DBA4F8240193C354870B1D0670C3B9B7586459F083549CC6BB1D67","71FA2A0904A53BA617B54224975854F600315E95E42BA596E02C1616817284B6","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000013","PU-000013","SGODA-PUINAVE","Puinave","pu","ATCUI","(atcuí)","Español","es","Me mandan","PU-000013_pu.mp3","True","PU-000013_pu.wav","PU-000013_pu.mp3","PU-000013_es.mp3;PU-000013_en.mp3;PU-000013_it.mp3;PU-000013_pt.mp3","LOTE-001","13","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000013_pu.wav","MP3\PU-000013_pu.mp3","True","True","97112","10007","E2C67BC347DC2ACB2321C5F136EB8859783BCB655BC547A6D450965FDFE7339E","BF6FA7803371DB787387114A6183F365361BC212F61A1E7A752201B02DB19E41","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000014","PU-000014","SGODA-PUINAVE","Puinave","pu","AUÑUN","(auñún)","Español","es","Avión","PU-000014_pu.mp3","True","PU-000014_pu.wav","PU-000014_pu.mp3","PU-000014_es.mp3;PU-000014_en.mp3;PU-000014_it.mp3;PU-000014_pt.mp3","LOTE-001","14","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000014_pu.wav","MP3\PU-000014_pu.mp3","True","True","95438","9215","63E2BD287982926667218A4BE5046CF1FE9F4ACFD8A7014771231A7C98EC5F2B","7644470459D42C1E0033BCB552FBAFDA946FFD12D5EF7068E12B9258AF294DA3","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000015","PU-000015","SGODA-PUINAVE","Puinave","pu","AYAYA","(allallá)","Español","es","Pato colorado","PU-000015_pu.mp3","True","PU-000015_pu.wav","PU-000015_pu.mp3","PU-000015_es.mp3;PU-000015_en.mp3;PU-000015_it.mp3;PU-000015_pt.mp3","LOTE-001","15","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000015_pu.wav","MP3\PU-000015_pu.mp3","True","True","87084","10655","EB9FB8D785590EB6E2BC131E6E8289CDB50E446B9313A9CC7B836F18E4C993FA","36C2A40D0D7A5BE2674CF7F3BC74B6CE78F82A519C871C376A7E5465AACB30DF","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000016","PU-000016","SGODA-PUINAVE","Puinave","pu","AU","(´au)","Español","es","Bachaco","PU-000016_pu.mp3","True","PU-000016_pu.wav","PU-000016_pu.mp3","PU-000016_es.mp3;PU-000016_en.mp3;PU-000016_it.mp3;PU-000016_pt.mp3","LOTE-001","16","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000016_pu.wav","MP3\PU-000016_pu.mp3","True","True","46958","5207","DCB4B8A5B5DCD48C2E124A56C73C003B02BD2CF6D8F7441ACF8DA69BC7AEDB1D","E04C32F6069D57AAD124C2FB2A19663AE378AD76BC1016362CB084319AE0B988","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000017","PU-000017","SGODA-PUINAVE","Puinave","pu","AU","(áu)","Español","es","Cantar","PU-000017_pu.mp3","True","PU-000017_pu.wav","PU-000017_pu.mp3","PU-000017_es.mp3;PU-000017_en.mp3;PU-000017_it.mp3;PU-000017_pt.mp3","LOTE-001","17","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000017_pu.wav","MP3\PU-000017_pu.mp3","True","True","53648","7056","E71C22071F4B34F116A0BAEAF38E83BA722487FFB998B1DF1C5AF06E4C15A604","4E1C9F631BB712DDA273280F2F296C020C543E4D4998742EE3863F0DFA82AF59","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000018","PU-000018","SGODA-PUINAVE","Puinave","pu","ÃG","(ãc)","Español","es","Verde","PU-000018_pu.mp3","True","PU-000018_pu.wav","PU-000018_pu.mp3","PU-000018_es.mp3;PU-000018_en.mp3;PU-000018_it.mp3;PU-000018_pt.mp3","LOTE-001","18","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000018_pu.wav","MP3\PU-000018_pu.mp3","True","True","65348","8927","77F71E38D60CC29CF9F79BF7BA4F23769B91CD92646A5383A3C2A060E043D9AB","C792BBF9262CD4272A7DAD890F0C5F34683E4A70122251D0CB9D6F2A26577304","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000019","PU-000019","SGODA-PUINAVE","Puinave","pu","IÃG","(i ãc)","Español","es","Color verde","PU-000019_pu.mp3","True","PU-000019_pu.wav","PU-000019_pu.mp3","PU-000019_es.mp3;PU-000019_en.mp3;PU-000019_it.mp3;PU-000019_pt.mp3","LOTE-001","19","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000019_pu.wav","MP3\PU-000019_pu.mp3","True","True","78724","10032","570C13457092897FC6189473FE65C57EE22D9092F40DF709E5526DD8E22469C8","15FB47749CF70E34C7F43665D908E631774978B3A45DB82FAB87AE63891BDD85","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000020","PU-000020","SGODA-PUINAVE","Puinave","pu","ÃCARIG","(ãkaríc)","Español","es","Morado para persona, animal o cosa","PU-000020_pu.mp3","True","PU-000020_pu.wav","PU-000020_pu.mp3","PU-000020_es.mp3;PU-000020_en.mp3;PU-000020_it.mp3;PU-000020_pt.mp3","LOTE-001","20","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000020_pu.wav","MP3\PU-000020_pu.mp3","True","True","87082","9936","47F38DE2A3FD576392B970705193F8E73130F352D09A084C87A64EE69CC5A66B","3B6FFD61F03D6E975955B5095920D701C13BCEA64A0CD1700C983E098EE37AC3","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
