"format","name","path","size_bytes","name_valid","expected","sha256","file_status"
"WAV","PU-000023_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000023_pu.wav","93766","True","True","DFC17228487D28D923CDCFBE2C03D20F59994A2CCB834D15294A8560CD0D5451","EXPECTED_FILE"
"WAV","PU-000024_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000024_pu.wav","63664","True","True","D716EC02E0E12D7E1BA5E1E070765F4B67BB67A6FD391C48D6BB836E59F29643","EXPECTED_FILE"
"WAV","PU-000025_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000025_pu.wav","56974","True","True","DCE935004D787A3F70A9065F5CA05AE9F89E6CE32CA6FB954C1061AF2DD3E24A","EXPECTED_FILE"
"MP3","PU-000005_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000005_pu.mp3","9262","True","True","7F7538062CFD09DF07EBF6610F7047DDBBD141266C9075C6BF22CAB036D1D3D7","EXPECTED_FILE"
"MP3","PU-000008_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000008_pu.mp3","10750","True","True","AFAE3D68F0BFD1F4642132867FFC6A122BBECB48E03D0BAE30CE8261D94E4A30","EXPECTED_FILE"
"MP3","PU-000013_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000013_pu.mp3","10007","True","True","BF6FA7803371DB787387114A6183F365361BC212F61A1E7A752201B02DB19E41","EXPECTED_FILE"
"MP3","PU-000011_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000011_pu.mp3","12288","True","True","2E823ABF85AAA25BCA4DDF394AFFA2D36EA85FE471F61D9036AB0649B37AE1B2","EXPECTED_FILE"
"MP3","PU-000002_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000002_pu.mp3","10413","True","True","E2DCC22158D587863793C82747EC19DF1AF357BA06EE01C4D1104E422BA748FC","EXPECTED_FILE"
"MP3","PU-000018_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000018_pu.mp3","8927","True","True","C792BBF9262CD4272A7DAD890F0C5F34683E4A70122251D0CB9D6F2A26577304","EXPECTED_FILE"
"MP3","PU-000012_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000012_pu.mp3","7487","True","True","71FA2A0904A53BA617B54224975854F600315E95E42BA596E02C1616817284B6","EXPECTED_FILE"
"MP3","PU-000019_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000019_pu.mp3","10032","True","True","15FB47749CF70E34C7F43665D908E631774978B3A45DB82FAB87AE63891BDD85","EXPECTED_FILE"
"MP3","PU-000001_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000001_pu.mp3","8301","True","True","C9C8112D1CE0597894A0620C5C8FC25EC2DD0C0238CE775BBE6EF6FCED60390C","EXPECTED_FILE"
