"lexical_id","native_word","expected_wav","expected_mp3","wav_path","mp3_path","overwrite_policy","action","wav_sha256","mp3_sha256","mp3_codec","mp3_duration_seconds","mp3_size_bytes","status","error"
"PU-000021","YÜG","PU-000021_pu.wav","PU-000021_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000021_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000021_pu.mp3","Never","GENERATED","7223FEBCE7CA6E55DE623FE6F53253F1B2FF54F068CE32FC8D9E3A3EF5AAC4F8","8E94FA4CCFD54F280C6B00667885AE9802E887B4EBCADD697ADBDC62B9B748E3","mp3","0.534042","9644","READY",""
"PU-000022","YÜI","PU-000022_pu.wav","PU-000022_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000022_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000022_pu.mp3","Never","GENERATED","D3893BE32F09C971A363D763BB4C7B7D67BA7202EE8E1FB9216385A4F319FEAE","0BD3A800110F372E26837493B641528C8ABF3E4C1E0CFD7E79EA80DCCEE85918","mp3","0.568896","10028","READY",""
"PU-000023","YÖIPIG","PU-000023_pu.wav","PU-000023_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000023_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000023_pu.mp3","Never","GENERATED","DFC17228487D28D923CDCFBE2C03D20F59994A2CCB834D15294A8560CD0D5451","882153E1C481549E2EEE5BD763AF33610CEA1F9F580FBDB32931F4D37DAAB279","mp3","0.650146","11564","READY",""
"PU-000024","YÖI","PU-000024_pu.wav","PU-000024_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000024_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000024_pu.mp3","Never","GENERATED","D716EC02E0E12D7E1BA5E1E070765F4B67BB67A6FD391C48D6BB836E59F29643","04BEAA645599B87DA4E2561ABF52E1B23F6C263CF903B2960DCDCEA72E2309D2","mp3","0.441188","8108","READY",""
"PU-000025","YÖ","PU-000025_pu.wav","PU-000025_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\WAV\PU-000025_pu.wav","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000025_pu.mp3","Never","GENERATED","DCE935004D787A3F70A9065F5CA05AE9F89E6CE32CA6FB954C1061AF2DD3E24A","877DF337379CFF49AEE39E30176C8ACA29C2224A56BFE7D3463013006ABE1E4B","mp3","0.394729","7340","READY",""
